,Новостройки,Автор отзыва,Отзыв,RuterExtractor,Ключевые слова KEYBERT,All_KeyBert,Ключевые слова RAKE,All_RAKE,Ключевые слова YAKE,Все ключевые слова YAKE,Группа 1,Группа 2,Группа 3,Группа 4
101,Волжский Берег,Евгений Свидерский,Дорогая камуналка,дорогая камуналка,"['камуналка', 'дорогая']","камуналка,дорогая",['дорогая камуналка'],дорогая камуналка,"['Дорогая камуналка', 'Дорогая']","Дорогая камуналка,Дорогая",DELETED,DELETED,DELETED,
102,Волжский Берег,Арт арт,Ужасное место никакой инфраструктуры,ужасное место инфраструктуры,['ужасное место никакой инфраструктуры'],ужасное место никакой инфраструктуры,['ужасное место никакой инфраструктуры'],ужасное место никакой инфраструктуры,"['Ужасное место никакой инфраструктуры', 'Ужасное место', 'место никакой', 'инфраструктуры', 'место']","Ужасное место никакой инфраструктуры,Ужасное место,место никакой,инфраструктуры,место",Рекомендую(Минус),Инфраструктура в шаговой доступности(Минус),,
103,Волжский Берег,Александр Зверев,Нет дорог. Нет магазинов поблизости.,дороги магазинов,"['нет магазинов поблизости', 'нет дорог']","нет магазинов поблизости,нет дорог","['магазинов поблизости', 'дорог']","магазинов поблизости,дорог","['дорог', 'магазинов поблизости', 'магазинов']","дорог,магазинов поблизости,магазинов",Наличие магазинов рядом(Минус),,,
104,Волжский Берег,Елена Смирнова,Дорога нужна к 7 дому,"дорога, дом","['дорога нужна', 'дому']","дорога нужна,дому","['дорога нужна', '7 дому']","дорога нужна,7 дому","['дому', 'Дорога нужна', 'нужна']","дому,Дорога нужна,нужна",Обустроенные дороги(Минус),,,
105,Волжский Берег,Кто-то,Начнем с того что: хорошая детская площадка; В квартиры первых этажей (судя по всему) вход прямо с улицы!,"хорошая детская площадка квартиры, первые этажи, улица, вход","['судя по всему', 'хорошая детская площадка', 'первых этажей']","судя по всему,хорошая детская площадка,первых этажей","['хорошая детская площадка', 'квартиры первых этажей', 'вход прямо', 'начнем', 'судя', 'улицы']","хорошая детская площадка,квартиры первых этажей,вход прямо,начнем,судя,улицы","['хорошая детская площадка', 'вход прямо с улицы', 'квартиры первых этажей', 'Начнем', 'хорошая', 'площадка']","хорошая детская площадка,вход прямо с улицы,квартиры первых этажей,Начнем,хорошая,площадка",Детская площадка за окном,,,
106,Волжский Берег,Андрей Филиппов,"Хороший микрорайон. Тихо, несмотря на то, что рядом трасса.","хороший микрорайон, трасса","['хороший микрорайон', 'что рядом трасса', 'несмотря на то']","хороший микрорайон,что рядом трасса,несмотря на то","['хороший микрорайон', 'тихо', 'несмотря', 'трасса']","хороший микрорайон,тихо,несмотря,трасса","['Хороший микрорайон', 'Тихо', 'Хороший', 'несмотря', 'трасса']","Хороший микрорайон,Тихо,Хороший,несмотря,трасса",Рекомендую,,,
107,Волжский Берег,Дмитрий некрасов,Отлично спасибо,['отлично спасибо'],отлично спасибо,['отлично'],отлично,['Отлично'],Отлично,,Рекомендую,,,
108,Волжский Берег,Александр Гребёнкин,"Новый микрорайон, много свободного пространства!","свободное пространство, новый микрорайон","['новый микрорайон', 'много свободного пространства']","новый микрорайон,много свободного пространства","['новый микрорайон', 'свободного пространства']","новый микрорайон,свободного пространства","['Новый микрорайон', 'свободного пространства', 'Новый', 'свободного']","Новый микрорайон,свободного пространства,Новый,свободного",Рекомендую,,,
109,Волжский Берег,Ирина,"Дорог нет, трудно доехать на общественном транспорте, отсутсвие магазинов","отсутсвие магазинов, общественное транспорт, дороги","['трудно доехать на общественном транспорте', 'отсутсвие магазинов', 'дорог нет']","трудно доехать на общественном транспорте,отсутсвие магазинов,дорог нет","['трудно доехать', 'общественном транспорте', 'отсутсвие магазинов', 'дорог']","трудно доехать,общественном транспорте,отсутсвие магазинов,дорог","['трудно доехать на общественном', 'отсутсвие магазинов', 'общественном транспорте', 'Дорог', 'трудно', 'транспорте']","трудно доехать на общественном,отсутсвие магазинов,общественном транспорте,Дорог,трудно,транспорте",Расположение удобное(Минус),Наличие магазинов рядом(Минус),Обустроенные дороги(Минус),
110,Волжский Берег,Елена Ландышева,"Дом хороший, нет автоподъезда к дому","дом, хороший автоподъезд","['нет автоподъезда', 'дом хороший', 'дому']","нет автоподъезда,дом хороший,дому","['дом хороший', 'автоподъезда', 'дому']","дом хороший,автоподъезда,дому","['Дом хороший', 'автоподъезда к дому', 'Дом']","Дом хороший,автоподъезда к дому,Дом",Обустроенные дороги(Минус),,,
